reporting_airport,Flights,Avg Delay (mins),Cancellation Rate (%)
HEATHROW,38446,16.1,1.68
GATWICK,16117,20.2,0.93
MANCHESTER,12239,41.7,3.24
STANSTED,11819,22.3,0.56
EDINBURGH,7276,22.7,4.28
LUTON,7001,20.1,0.54
BIRMINGHAM,5464,26.7,2.13
GLASGOW,4149,23.4,5.58
BRISTOL,4071,21.5,0.0
LONDON CITY,3395,10.3,3.41
BELFAST INTERNATIONAL,2860,26.2,2.85
LIVERPOOL (JOHN LENNON),2257,31.1,3.75
NEWCASTLE,2226,25.5,3.09
BELFAST CITY (GEORGE BEST),2199,16.2,4.97
ABERDEEN,2045,24.6,8.09
LEEDS BRADFORD,1588,25.2,7.24
SOUTHAMPTON,1097,18.5,5.35
JERSEY,969,29.6,3.49
EAST MIDLANDS INTERNATIONAL,939,27.3,0.32
ISLE OF MAN,594,22.1,9.31
CARDIFF WALES,381,35.1,3.3
BOURNEMOUTH,311,19.9,0.0
TEESSIDE INTERNATIONAL AIRPORT,245,22.6,7.89
EXETER,236,26.4,3.67
